shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4__1____1__IT_1,40.4802624278576,-3.66723744236574,1000001,0.0
4__1____1__IT_1,40.4803769678597,-3.66777650933287,1000002,0.047428346568
4__1____1__IT_1,40.4804232925184,-3.66820786216953,1000003,0.131778797501
4__1____1__IT_1,40.4803737351212,-3.66865010482233,1000004,0.254016056954
4__1____1__IT_1,40.4786176954147,-3.67410451070911,1000005,0.877997732961
4__1____1__IT_1,40.4784807907417,-3.67479908876806,1000006,1.562784496877
4__1____1__IT_1,40.4781477727093,-3.67542282929535,1000007,2.312083733168
4__1____1__IT_1,40.4774847386702,-3.67595016802278,1000008,3.147493089197
4__1____1__IT_1,40.4755396581926,-3.67673753695526,1000009,4.208894398759
4__1____2__IT_1,40.3597615152859,-3.59165384821841,1000001,0.0
4__1____2__IT_1,40.3616066156377,-3.59545123847854,1000002,0.381988284485
4__1____2__IT_1,40.3637367481757,-3.59968990601853,1000003,1.194599178816
4__1____2__IT_1,40.3638797941548,-3.60001359514698,1000004,2.038950757557
4__1____2__IT_1,40.3638797941548,-3.60001359514698,2000001,2.038950757557
4__1____2__IT_1,40.3696636894383,-3.61199941519465,2000002,3.242190726268
4__1____2__IT_1,40.370073008319,-3.61304513065522,2000003,4.545162673292
4__1____2__IT_1,40.370073008319,-3.61304513065522,3000001,4.545162673292
4__1____2__IT_1,40.370261647712,-3.61372088679345,3000002,4.606235964158
4__1____2__IT_1,40.3703599613266,-3.61496425743501,3000003,4.773433579914
