column,TP,FP,FN,precision,recall,f1,method
CSV Column,37,0,40,1.0,0.4805194805194805,0.6491228070175439,gemini_2.5_0.80_all
Datatype,19,0,23,1.0,0.4523809523809524,0.6229508196721312,gemini_2.5_0.80_all
Entity Class,39,0,21,1.0,0.65,0.787878787878788,gemini_2.5_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,gemini_2.5_0.80_all
Function Output,6,0,3,1.0,0.6666666666666666,0.8,gemini_2.5_0.80_all
Join,7,0,2,1.0,0.7777777777777778,0.8750000000000001,gemini_2.5_0.80_all
Ontology Property,48,0,12,1.0,0.8,0.888888888888889,gemini_2.5_0.80_all
Rel. Entity Class,18,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Subject Generation,23,0,37,1.0,0.3833333333333333,0.5542168674698795,gemini_2.5_0.80_all
CSV Column,25,0,17,1.0,0.5952380952380952,0.7462686567164178,mixtral_0.80_all
Datatype,13,0,19,1.0,0.40625,0.5777777777777777,mixtral_0.80_all
Entity Class,23,0,18,1.0,0.5609756097560976,0.71875,mixtral_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,mixtral_0.80_all
Function Output,0,0,16,0.0,0.0,0.0,mixtral_0.80_all
Join,0,0,5,0.0,0.0,0.0,mixtral_0.80_all
Ontology Property,24,0,13,1.0,0.6486486486486487,0.7868852459016393,mixtral_0.80_all
Rel. Entity Class,5,0,4,1.0,0.5555555555555556,0.7142857142857143,mixtral_0.80_all
Subject Generation,0,0,23,0.0,0.0,0.0,mixtral_0.80_all
CSV Column,23,0,63,1.0,0.2674418604651162,0.4220183486238532,o3_0.80_all
Datatype,15,0,48,1.0,0.238095238095238,0.3846153846153846,o3_0.80_all
Entity Class,39,0,35,1.0,0.527027027027027,0.6902654867256637,o3_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,o3_0.80_all
Function Output,0,0,25,0.0,0.0,0.0,o3_0.80_all
Join,10,0,0,1.0,1.0,1.0,o3_0.80_all
Ontology Property,48,0,27,1.0,0.64,0.7804878048780487,o3_0.80_all
Rel. Entity Class,14,0,4,1.0,0.7777777777777778,0.8750000000000001,o3_0.80_all
Subject Generation,13,0,61,1.0,0.1756756756756756,0.2988505747126437,o3_0.80_all
CSV Column,33,0,30,1.0,0.5238095238095238,0.6875000000000001,deepseek_0.80_all
Datatype,18,0,25,1.0,0.4186046511627907,0.5901639344262295,deepseek_0.80_all
Entity Class,12,0,41,1.0,0.2264150943396226,0.3692307692307692,deepseek_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,deepseek_0.80_all
Function Output,1,0,15,1.0,0.0625,0.1176470588235294,deepseek_0.80_all
Join,6,0,3,1.0,0.6666666666666666,0.8,deepseek_0.80_all
Ontology Property,43,0,10,1.0,0.8113207547169812,0.8958333333333334,deepseek_0.80_all
Rel. Entity Class,9,0,7,1.0,0.5625,0.72,deepseek_0.80_all
Subject Generation,5,0,10,1.0,0.3333333333333333,0.5,deepseek_0.80_all
CSV Column,36,0,3,1.0,0.9230769230769232,0.96,gpt4o_0.80_all
Datatype,25,0,5,1.0,0.8333333333333334,0.9090909090909092,gpt4o_0.80_all
Entity Class,36,0,3,1.0,0.9230769230769232,0.96,gpt4o_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,gpt4o_0.80_all
Function Output,0,0,9,0.0,0.0,0.0,gpt4o_0.80_all
Join,6,0,6,1.0,0.5,0.6666666666666666,gpt4o_0.80_all
Ontology Property,36,0,3,1.0,0.9230769230769232,0.96,gpt4o_0.80_all
Rel. Entity Class,16,0,5,1.0,0.7619047619047619,0.8648648648648648,gpt4o_0.80_all
Subject Generation,26,0,2,1.0,0.9285714285714286,0.962962962962963,gpt4o_0.80_all
CSV Column,29,0,56,1.0,0.3411764705882353,0.5087719298245613,llama_0.80_all
Datatype,0,0,76,0.0,0.0,0.0,llama_0.80_all
Entity Class,24,0,61,1.0,0.2823529411764706,0.4403669724770642,llama_0.80_all
Function Name,0,0,0,0.0,0.0,0.0,llama_0.80_all
Function Output,0,0,9,0.0,0.0,0.0,llama_0.80_all
Join,0,0,9,0.0,0.0,0.0,llama_0.80_all
Ontology Property,36,0,49,1.0,0.4235294117647059,0.5950413223140496,llama_0.80_all
Rel. Entity Class,0,0,15,0.0,0.0,0.0,llama_0.80_all
Subject Generation,0,0,85,0.0,0.0,0.0,llama_0.80_all
