stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
acc_4_1_1,1,Plaza de Castilla,Paseo de la Castellana 189,40.46682,-3.68918,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1040,1,Ascensor,Plaza de Castilla 9,40.46555,-3.68877,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1043,1,Intercambiador Superficie,Paseo de la Castellana 191 B,40.46728,-3.68915,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1044,1,Ascensor,Paseo de la Castellana 189,40.46702,-3.68918,,http://www.crtm.es,2,est_90_21,,0
est_4_95,95,URGEL,,40.39335,-3.7236,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_96,96,OPORTO,,40.38846,-3.73132,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_97,97,VISTA ALEGRE,,40.38885,-3.73982,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_98,98,CARABANCHEL,,40.38783,-3.74487,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_99,99,EUGENIA DE MONTIJO,,40.38439,-3.75121,A,http://www.crtm.es,1,,Europe/Madrid,2
est_90_1,1,Aluche,Calle de Valmojado 293,40.38563,-3.76085,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_13,13,Méndez Álvaro Estación Sur,Calle del Ombu 16,40.39538,-3.67819,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_14,14,Intercambiador de Moncloa,Plaza de la Moncloa 1,40.43523,-3.71919,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_18,18,Intercambiador de Príncipe Pío,Paseo de la Florida 2,40.42107,-3.72037,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_21,21,Intercambiador de Plaza de Castilla,Paseo de la Castellana 189,40.4669,-3.6892,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_25,25,Chamartín,Calle de Agustín de Foxá 40,40.4721,-3.68269,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_33,33,Aeropuerto T4,Ctra de Alcobendas a Barajas SN,40.49176,-3.59356,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_34,34,Aeropuerto T1 - T2 - T3,Avda de la Hispanidad SN,40.46864,-3.56965,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_36,36,Intercambiador de Plaza Elíptica,Calle  Vía Lusitana 2,40.3846,-3.71848,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_4,4,Intercambiador de Avenida de América,Avda de América 9 A,40.43803,-3.67669,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_54,54,Atocha-Renfe,Avda de la Ciudad de Barcelona 2 B,40.40659,-3.68944,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_58,58,Puerta del Sol,Plaza de la Puerta del Sol 6,40.41688,-3.70331,A,http://www.crtm.es,1,,Europe/Madrid,0
est_90_71,71,Nuevos Ministerios,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1,,Europe/Madrid,0
par_4_1,1,PLAZA DE CASTILLA,,40.4669,-3.68917,A,http://www.crtm.es,0,est_90_21,,0
par_4_10,10,TRIBUNAL,,40.42619,-3.7011,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_100,100,ALUCHE,,40.38563,-3.7608,A,http://www.crtm.es,0,est_90_1,,2
par_4_101,101,EMPALME,,40.39057,-3.76535,A,http://www.crtm.es,0,,Europe/Madrid,2
par_4_102,102,CAMPAMENTO,,40.39481,-3.76813,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_103,103,CASA DE CAMPO,,40.40324,-3.76101,A,http://www.crtm.es,0,,Europe/Madrid,2
par_4_104,104,LAGUNA,,40.39923,-3.74429,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_105,105,CARPETANA,,40.3927,-3.74099,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_106,106,OPORTO,,40.38847,-3.73126,A,http://www.crtm.es,0,est_4_96,,0
par_4_107,107,OPAÑEL,,40.3869,-3.72313,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_108,108,PLAZA ELIPTICA,,40.3846,-3.71837,A,http://www.crtm.es,0,est_90_36,,2
par_4_109,109,USERA,,40.3871,-3.7069,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_11,11,GRAN VIA,,40.42001,-3.7018,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_110,110,LEGAZPI,,40.39116,-3.69505,A,http://www.crtm.es,0,est_4_43,,2
par_4_111,111,MENDEZ ALVARO,,40.39538,-3.67814,A,http://www.crtm.es,0,est_90_13,,0
par_4_112,112,PACIFICO,,40.40207,-3.67386,A,http://www.crtm.es,0,est_4_18,,0
par_4_113,113,CONDE DE CASAL,,40.40697,-3.67041,A,http://www.crtm.es,0,,Europe/Madrid,2
par_4_114,114,SAINZ DE BARANDA,,40.41507,-3.66951,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_115,115,ODONNELL,,40.42289,-3.6686,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_116,116,MANUEL BECERRA,,40.4279,-3.66921,A,http://www.crtm.es,0,est_4_29,,0
par_4_117,117,DIEGO DE LEON,,40.43295,-3.67294,A,http://www.crtm.es,0,est_4_63,,0
par_4_118,118,AVENIDA DE AMERICA,,40.43804,-3.67658,A,http://www.crtm.es,0,est_90_4,,0
par_4_119,119,REPUBLICA ARGENTINA,,40.44379,-3.68406,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_12,12,SOL,,40.41688,-3.70326,A,http://www.crtm.es,0,est_90_58,,1
par_4_120,120,NUEVOS MINISTERIOS,,40.44662,-3.69241,A,http://www.crtm.es,0,est_90_71,,2
par_4_121,121,CUATRO CAMINOS,,40.44697,-3.70387,A,http://www.crtm.es,0,est_4_6,,2
par_4_122,122,GUZMAN EL BUENO,,40.44637,-3.71229,A,http://www.crtm.es,0,,Europe/Madrid,2
par_4_123,123,METROPOLITANO,,40.44644,-3.71943,A,http://www.crtm.es,0,,Europe/Madrid,0
par_4_124,124,CIUDAD UNIVERSITARIA,,40.44356,-3.72678,A,http://www.crtm.es,0,,Europe/Madrid,2
par_4_125,125,MONCLOA,,40.43497,-3.71945,A,http://www.crtm.es,0,est_90_14,,2
